key=Chicago count=6
key=Keith count=10
key=recently count=1
key=came count=1
key=back count=1
key=from count=1
key=a count=11
key=trip count=1
key=to count=8
key=Illinois count=1
key=This count=1
key=midwestern count=1
key=metropolis count=1
key=is count=3
key=found count=2
key=along count=1
key=the count=22
key=shore count=1
key=of count=14
key=Lake count=2
key=Michigan count=2
key=During count=2
key=his count=2
key=visit count=5
key=spent count=1
key=lot count=1
key=time count=1
key=exploring count=1
key=city count=1
key=important count=1
key=landmarks count=2
key=and count=5
key=monuments count=2
key=loves count=1
key=baseball count=1
key=he count=3
key=made count=1
key=sure count=1
key=take count=2
key=Wrigley count=1
key=Field count=1
key=Not count=1
key=only count=1
key=did count=1
key=tour count=1
key=this count=1
key=spectacular count=1
key=stadium count=2
key=but count=1
key=also count=2
key=got count=1
key=watch count=1
key=Cubs count=3
key=game count=1
key=In count=1
key=other count=1
key=fans count=1
key=cheered count=1
key=for count=2
key=was count=2
key=happy count=1
key=that count=4
key=won count=1
key=with count=2
key=score count=1
key=5-4 count=1
key=has count=1
key=many count=2
key=historic count=1
key=places count=1
key=Water count=1
key=Tower count=2
key=impressive count=1
key=as count=1
key=it count=2
key=one count=1
key=few count=1
key=remaining count=1
key=have count=1
key=survived count=1
key=Great count=1
key=Fire count=1
key=1871 count=1
key=took count=1
key=walk count=1
key=through count=1
key=Jackson count=1
key=Park count=1
key=great count=2
key=outdoor count=1
key=space count=1
key=hosted count=1
key=World’s count=2
key=Fair count=2
key=1892 count=1
key=The count=1
key=park count=1
key=leisurely count=1
key=stroll count=1
key=still count=1
key=features count=1
key=some count=1
key=original count=1
key=architecture count=1
key=replicas count=1
key=were count=1
key=featured count=1
key=in count=2
key=last count=1
key=part count=1
key=managed count=1
key=climb count=1
key=stairs count=2
key=inside count=1
key=Willis count=1
key=110-story count=1
key=skyscraper count=1
key=Despite count=1
key=challenge count=1
key=climbing count=1
key=flights count=1
key=felt count=1
key=reaching count=1
key=top count=1
key=worth count=1
key=effort count=1
key=From count=1
key=rooftop count=1
key=received count=1
key=gorgeous count=1
key=view count=1
key=city’s count=1
key=skyline count=1
key=background count=1
